"date","year","month","country","sector","value"
2015-05-01,2015,5,"italy","transport_mtco2",8.3525
2015-05-01,2015,5,"italy","total_hist_mtco2",25.6393536861723
2015-05-01,2015,5,"spain","power_mtco2",4.07697071525892
2015-05-01,2015,5,"spain","industry_mtco2",4.759235
2015-05-01,2015,5,"spain","residential_mtco2",2.69666666666667
2015-05-01,2015,5,"spain","aviation_mtco2",0.445
2015-05-01,2015,5,"spain","transport_mtco2",6.68333333333333
2015-05-01,2015,5,"spain","total_hist_mtco2",18.6612057152589
2015-05-01,2015,5,"uk","power_mtco2",6.53820875510017
2015-05-01,2015,5,"uk","industry_mtco2",5.66630552546046
2015-05-01,2015,5,"uk","residential_mtco2",7.07083333333333
2015-05-01,2015,5,"uk","aviation_mtco2",0.204166666666667
2015-05-01,2015,5,"uk","transport_mtco2",9.6375
2015-05-01,2015,5,"uk","total_hist_mtco2",29.1170142805606
2015-05-01,2015,5,"all","power_mtco2",726.502415197296
2015-05-01,2015,5,"all","industry_mtco2",558.931382948945
2015-05-01,2015,5,"all","residential_mtco2",197.305833333333
2015-05-01,2015,5,"all","aviation_mtco2",22.5966666666667
2015-05-01,2015,5,"all","transport_mtco2",341.96
2015-05-01,2015,5,"all","total_hist_mtco2",1847.29629814624
2015-06-01,2015,6,"china","power_mtco2",315.600306986455
2015-06-01,2015,6,"china","industry_mtco2",339.1790205059
2015-06-01,2015,6,"china","residential_mtco2",58.5725
2015-06-01,2015,6,"china","aviation_mtco2",4.49083333333333
2015-06-01,2015,6,"china","transport_mtco2",65.2425
2015-06-01,2015,6,"china","total_hist_mtco2",783.085160825688
2015-06-01,2015,6,"india","power_mtco2",79.3970621144294
2015-06-01,2015,6,"india","industry_mtco2",55.7438478893741
2015-06-01,2015,6,"india","residential_mtco2",14.4508333333333
2015-06-01,2015,6,"india","aviation_mtco2",0.499166666666667
2015-06-01,2015,6,"india","transport_mtco2",20.7108333333333
2015-06-01,2015,6,"india","total_hist_mtco2",170.801743337137
2015-06-01,2015,6,"us","power_mtco2",163.032949509005
2015-06-01,2015,6,"us","industry_mtco2",61.3731966554095
2015-06-01,2015,6,"us","residential_mtco2",48.2183333333333
2015-06-01,2015,6,"us","aviation_mtco2",13.215
2015-06-01,2015,6,"us","transport_mtco2",132.800833333333
2015-06-01,2015,6,"us","total_hist_mtco2",418.640312831081
2015-06-01,2015,6,"europe","power_mtco2",77.1570219906286
2015-06-01,2015,6,"europe","industry_mtco2",53.0199883352774
2015-06-01,2015,6,"europe","residential_mtco2",49.1333333333333
2015-06-01,2015,6,"europe","aviation_mtco2",1.37916666666667
2015-06-01,2015,6,"europe","transport_mtco2",72.4058333333333
